"","X","taxon","EOO.Area.km2","EOO.Status","AOO","AOO.adjusted.Minimum","AOO.Status"
"21",1,"Allium douglasii",124945.305430455,"Least Concern (LC)",5400,5000,"Least Concern (LC)"
"22",1,"Allium drummondii",1170737.19901974,"Least Concern (LC)",16400,15900,"Least Concern (LC)"
"23",1,"Allium falcifolium",391251.248552252,"Least Concern (LC)",11700,11100,"Least Concern (LC)"
"24",1,"Allium fibrillum",423060.427432589,"Least Concern (LC)",10500,10000,"Least Concern (LC)"
"25",1,"Allium geyeri var. geyeri",1277308.3082936,"Least Concern (LC)",27000,25600,"Least Concern (LC)"
"26",1,"Allium geyeri var. tenerum",1805517.06954446,"Least Concern (LC)",21200,20400,"Least Concern (LC)"
"27",1,"Allium geyeri",2103628.30634106,"Least Concern (LC)",39400,39300,"Least Concern (LC)"
"28",1,"Allium gooddingii",89217.4345718379,"Least Concern (LC)",500,500,"Vulnerable (VU)"
"29",1,"Allium kunthii",882827.813338422,"Least Concern (LC)",6700,6200,"Least Concern (LC)"
"30",1,"Allium lemmonii",495944.330412566,"Least Concern (LC)",11400,10900,"Least Concern (LC)"
"31",1,"Allium macrum",217909.340676056,"Least Concern (LC)",6200,6100,"Least Concern (LC)"
"32",1,"Allium munzii",822.684971923086,"Endangered (EN)",1100,800,"Vulnerable (VU)"
"33",1,"Allium nevii",103801.287811055,"Least Concern (LC)",5000,4500,"Least Concern (LC)"
"34",1,"Allium obtusum var. conspicuum",944505.860921449,"Least Concern (LC)",6600,6400,"Least Concern (LC)"
"35",1,"Allium platycaule",283369.067869335,"Least Concern (LC)",5300,4800,"Least Concern (LC)"
"36",1,"Allium praecox",60935.2180129039,"Least Concern (LC)",6100,5500,"Least Concern (LC)"
"37",1,"Allium robinsonii",174092.35587472,"Least Concern (LC)",4100,3900,"Possible Near Threatened (NT)"
"38",1,"Allium sanbornii",72275.3489435651,"Least Concern (LC)",1400,1300,"Vulnerable (VU)"
"39",1,"Allium schoenoprasum subsp. schoenoprasum",944505.860921449,"Least Concern (LC)",6600,6500,"Least Concern (LC)"
"40",1,"Allium schoenoprasum",12300118.0781001,"Least Concern (LC)",36700,35700,"Least Concern (LC)"
"41",1,"Allium scilloides",51307.3697565363,"Least Concern (LC)",2700,2500,"Possible Near Threatened (NT)"
"42",1,"Allium siskiyouense",384519.97023652,"Least Concern (LC)",6300,5800,"Least Concern (LC)"
"43",1,"Allium stellatum",2021632.02446953,"Least Concern (LC)",8900,8700,"Least Concern (LC)"
"44",1,"Allium textile",2604701.72591836,"Least Concern (LC)",134000,130200,"Least Concern (LC)"
"45",1,"Allium tolmiei",424189.712891448,"Least Concern (LC)",7100,6800,"Least Concern (LC)"
"46",1,"Allium tricoccum",1746610.06010433,"Least Concern (LC)",18400,17600,"Least Concern (LC)"
"47",1,"Allium unifolium",266035.519603388,"Least Concern (LC)",5100,4400,"Least Concern (LC)"
"48",1,"Allium validum",692837.829783514,"Least Concern (LC)",16300,15700,"Least Concern (LC)"
"49",1,"Allium victorialis subsp. platyphyllum",944505.860921449,"Least Concern (LC)",6600,6400,"Least Concern (LC)"
"50",1,"Allium victorialis",944505.860921449,"Least Concern (LC)",6600,6400,"Least Concern (LC)"
"51",1,"Annona montana",944505.860921449,"Least Concern (LC)",6600,6400,"Least Concern (LC)"
"52",1,"Asimina triloba",NA,"Critically Endangered (CR)",NA,NA,"Critically Endangered (CR)"
"53",1,"Aphanisma blitoides",92487.1558253073,"Least Concern (LC)",3000,2600,"Possible Near Threatened (NT)"
"54",1,"Apios americana",5258890.42283839,"Least Concern (LC)",57600,56600,"Least Concern (LC)"
"55",1,"Apios priceana",NA,"Critically Endangered (CR)",NA,NA,"Critically Endangered (CR)"
"56",1,"Artocarpus altilis",5258890.42283839,"Least Concern (LC)",57600,56800,"Least Concern (LC)"
"57",1,"Artocarpus mariannensis",NA,"Critically Endangered (CR)",NA,NA,"Critically Endangered (CR)"
"58",1,"Asimina triloba",2388482.70112694,"Least Concern (LC)",55500,54700,"Least Concern (LC)"
"59",1,"Blitum californicum",222822.824932306,"Least Concern (LC)",25300,23700,"Least Concern (LC)"
"60",1,"Blitum capitatum",10612910.6827173,"Least Concern (LC)",11400,11100,"Least Concern (LC)"
"61",1,"Blitum hastatum",312314.458969303,"Least Concern (LC)",2700,2600,"Possible Near Threatened (NT)"
"62",1,"Blitum nuttallianum",7594569.72805913,"Least Concern (LC)",38400,37500,"Least Concern (LC)"
"63",1,"Blitum spathulatum",47596.3434106172,"Least Concern (LC)",600,500,"Vulnerable (VU)"
"64",1,"Capsicum annuum var. glabriusculum",5552823.19204787,"Least Concern (LC)",22500,21900,"Least Concern (LC)"
"65",1,"Carya aquatica",1785467.41179439,"Least Concern (LC)",11500,11300,"Least Concern (LC)"
"66",1,"Carya carolinae-septentrionalis",267946.412343954,"Least Concern (LC)",4000,3500,"Possible Near Threatened (NT)"
"67",1,"Carya cordiformis",3203878.28198286,"Least Concern (LC)",51400,50100,"Least Concern (LC)"
"68",1,"Carya floridana",67603.2730760639,"Least Concern (LC)",2500,2500,"Possible Near Threatened (NT)"
"69",1,"Carya glabra",2747342.54163484,"Least Concern (LC)",60500,59300,"Least Concern (LC)"
"70",1,"Carya illinoinensis",2321436.59485834,"Least Concern (LC)",17700,17000,"Least Concern (LC)"
"71",1,"Carya laciniosa",1598454.28107415,"Least Concern (LC)",13700,12900,"Least Concern (LC)"
"72",1,"Carya myristiciformis",272758.709383908,"Least Concern (LC)",4500,4100,"Least Concern (LC)"
"73",1,"Carya ovalis",1746770.41732541,"Least Concern (LC)",10400,9800,"Least Concern (LC)"
"74",1,"Carya ovata",3407020.68400903,"Least Concern (LC)",61100,59300,"Least Concern (LC)"
"75",1,"Carya pallida",896996.178365384,"Least Concern (LC)",14500,13500,"Least Concern (LC)"
"76",1,"Carya texana",607239.210081487,"Least Concern (LC)",10900,10200,"Least Concern (LC)"
"77",1,"Carya tomentosa",2863044.56357349,"Least Concern (LC)",50000,48600,"Least Concern (LC)"
"78",1,"Carya x ludoviciana",NA,"Critically Endangered (CR)",NA,NA,"Critically Endangered (CR)"
