"","ID","FCSex","FCSin","FCSc_mean_class","diff","ExsituOverInsitu"
"136","Leymus triticoides",0.0638569604086847,36.0577157282787,"HP",-35.99385876787,0
"137","Leymus x multiflorus",0,54.1373251505386,"MP",-54.1373251505386,0
"138","Pseudoroegneria spicata",0.0077827068254339,40.2367597228391,"HP",-40.2289770160137,0
"139","Ficus aurea",0.823045267489713,48.5130924840087,"HP",-47.690047216519,0
"140","Ficus citrifolia",0.263620386643234,47.3154264499205,"HP",-47.0518060632773,0
"141","Fragaria cascadensis",92.8055160637396,45.7289565192283,"LP",47.0765595445113,1
"142","Fragaria chiloensis subsp. lucida",65.2408041594185,39.1593118843599,"LP",26.0814922750586,1
"143","Fragaria chiloensis subsp. pacifica",28.189785745552,47.6557349144957,"MP",-19.4659491689437,0
"144","Fragaria chiloensis",2.73671858408424,46.1601476398059,"HP",-43.4234290557217,0
"145","Fragaria vesca f. bracteata",46.7872182099989,41.1712203972451,"MP",5.6159978127538,1
"146","Fragaria vesca subsp. americana",12.0671089783547,36.8809876556477,"HP",-24.813878677293,0
"147","Fragaria vesca subsp. bracteata",4.60534918984066,43.629403169749,"HP",-39.0240539799083,0
"148","Fragaria vesca subsp. californica",11.2207291361067,47.4787136595158,"MP",-36.2579845234091,0
"149","Fragaria vesca",1.70687600499778,41.8042972677681,"HP",-40.0974212627703,0
"150","Fragaria virginiana subsp. glauca",24.0901183633557,44.1253112658953,"MP",-20.0351929025396,0
"151","Fragaria virginiana subsp. grayana",31.4271918519478,34.7726184228478,"MP",-3.3454265709,0
"152","Fragaria virginiana subsp. platypetala",27.2934484135744,41.2388350897051,"MP",-13.9453866761307,0
"153","Fragaria virginiana subsp. virginiana",57.4179835071621,36.4640515813001,"MP",20.953931925862,1
"154","Fragaria virginiana",2.73367542076551,42.3803302401381,"HP",-39.6466548193726,0
"155","Fragaria x ananassa nothosubsp. cuneifolia",73.9590128534301,31.9683934006749,"LP",41.9906194527552,1
"156","Fragaria x ananassa",33.3333333333333,41.9926069416592,"MP",-8.6592736083259,0
"157","Gossypium thurberi",22.2530395888764,34.5502827376338,"MP",-12.2972431487574,0
"158","Gossypium tomentosum",7.56013745704467,0,"HP",7.56013745704467,1
"159","Helianthus agrestis",46.0693547306532,26.3170416019747,"MP",19.7523131286785,1
"160","Helianthus angustifolius",28.2237512600019,36.1583930074608,"MP",-7.9346417474589,0
"161","Helianthus annuus",55.3077518942042,34.9340642566973,"MP",20.3736876375069,1
"162","Helianthus anomalus",31.2927091514757,34.0095692834826,"MP",-2.7168601320069,0
"163","Helianthus argophyllus",76.4530145362461,31.481207521034,"LP",44.9718070152121,1
"164","Helianthus atrorubens",25.0162127744974,37.1946178469883,"MP",-12.1784050724909,0
"165","Helianthus bolanderi",37.5663844850839,35.1623291361076,"MP",2.4040553489763,1
"166","Helianthus californicus",40.2940586231356,44.7146823293633,"MP",-4.4206237062277,0
"167","Helianthus carnosus",72.463768115942,34.2751912953441,"LP",38.1885768205979,1
"168","Helianthus ciliaris",25.9049988403089,26.1118048736044,"MP",-0.2068060332955,0
"169","Helianthus cusickii",30.5227504581133,39.5720325260512,"MP",-9.0492820679379,0
"170","Helianthus debilis subsp. cucumerifolius",35.3435855780264,28.7087297602731,"MP",6.6348558177533,1
"171","Helianthus debilis subsp. debilis",59.3502387048483,40.6660320631504,"LP",18.6842066416979,1
"172","Helianthus debilis subsp. silvestris",53.1738742044035,17.4455642245196,"MP",35.7283099798839,1
"173","Helianthus debilis subsp. vestitus",32.4769944514846,18.4333827396202,"MP",14.0436117118644,1
"174","Helianthus debilis",1.63841807909605,39.113804085116,"HP",-37.47538600602,0
"175","Helianthus decapetalus",22.3700660233068,36.8638032566504,"MP",-14.4937372333436,0
"176","Helianthus deserticola",62.8907276516367,43.565685744949,"LP",19.3250419066877,1
"177","Helianthus divaricatus",23.0014409334154,33.8566676457911,"MP",-10.8552267123757,0
"178","Helianthus eggertii",63.5201079525758,35.2813272034633,"MP",28.2387807491125,1
"179","Helianthus exilis",65.1453392621871,37.6263892618122,"LP",27.5189500003749,1
"180","Helianthus floridanus",40.2478540098749,37.8677963630334,"MP",2.3800576468415,1
"181","Helianthus giganteus",30.8108824527979,36.9114487930898,"MP",-6.10056634029189,0
"182","Helianthus glaucophyllus",56.5338022867709,46.0033400034227,"LP",10.5304622833482,1
"183","Helianthus gracilentus",36.2027768808524,36.3674792617324,"MP",-0.164702380880001,0
"184","Helianthus grosseserratus",25.2623331943864,31.773257743345,"MP",-6.5109245489586,0
"185","Helianthus heterophyllus",35.2879986840758,27.230378933173,"MP",8.0576197509028,1
